word,meaning
zooming,v. zoom 的现在分词
pianists,n. pianist 的复数形式
ballpoints,n. ballpoint 的复数形式
roosters,n. rooster 的复数形式
capsules,n. capsule 的复数形式
attractions,n. attraction 的复数形式
beehives,n. beehive 的复数形式
dusks,n. dusk 的复数形式
mottos,n. motto 的复数形式
skyscrapers,n. skyscraper 的复数形式
chemists,n. chemist 的复数形式
conveyed,v. convey 的过去式
conveying,v. convey 的现在分词
bathrobes,n. bathrobe 的复数形式
platforms,n. platform 的复数形式
confirmed,v. confirm 的过去式
confirming,v. confirm 的现在分词
scratched,v. scratch 的过去式
scratching,v. scratch 的现在分词
cleaners,n. cleaner 的复数形式
patented,v. patent 的过去式
patenting,v. patent 的现在分词
laboured,v. labour 的过去式
labouring,v. labour 的现在分词
textbooks,n. textbook 的复数形式
feathers,n. feather 的复数形式
foreheads,n. forehead 的复数形式
barriers,n. barrier 的复数形式
runners,n. runner 的复数形式
courtyards,n. courtyard 的复数形式
ballets,n. ballet 的复数形式
jewels,n. jewel 的复数形式
contained,v. contain 的过去式
containing,v. contain 的现在分词
comforted,v. comfort 的过去式
comforting,v. comfort 的现在分词
sessions,n. session 的复数形式
workdays,n. workday 的复数形式
inspired,v. inspire 的过去式
screamed,v. scream 的过去式
screaming,v. scream 的现在分词
agendas,n. agenda 的复数形式
assistances,n. assistance 的复数形式
outed,v. outing 的过去式
buddhists,n. buddhist 的复数形式
algebras,n. algebra 的复数形式
curricula,n. curriculum 的复数形式
razors,n. razor 的复数形式
universes,n. universe 的复数形式
attracted,v. attract 的过去式
attracting,v. attract 的现在分词
negotiated,v. negotiate 的过去式
negotiating,v. negotiate 的现在分词
feasts,n. feast 的复数形式
techniques,n. technique 的复数形式
referees,n. referee 的复数形式
policemans,n. policeman 的复数形式
memorized,v. memorize 的过去式
memorizing,v. memorize 的现在分词
educators,n. educator 的复数形式
wrestled,v. wrestle 的过去式
wrestling,v. wrestle 的现在分词
scored,v. scores 的过去式
scoring,v. scores 的现在分词
buckets,n. bucket 的复数形式
mushrooms,n. mushroom 的复数形式
receptions,n. reception 的复数形式
workforces,n. workforce 的复数形式
concepts,n. concept 的复数形式
insured,v. insure 的过去式
insuring,v. insure 的现在分词
radia,n. radium 的复数形式
heroines,n. heroine 的复数形式
commitments,n. commitment 的复数形式
recovered,v. recover 的过去式
recovering,v. recover 的现在分词
equalities,n. equality 的复数形式
consisted,v. consist 的过去式
consisting,v. consist 的现在分词
circulated,v. circulate 的过去式
circulating,v. circulate 的现在分词
nurseries,n. nursery 的复数形式
regarded,v. regards 的过去式
accomplished,v. accomplish 的过去式
accomplishing,v. accomplish 的现在分词
heaps,n. heap 的复数形式
cellars,n. cellar 的复数形式
fireplaces,n. fireplace 的复数形式
fluencies,n. fluency 的复数形式
survivals,n. survival 的复数形式
slaveries,n. slavery 的复数形式
explorers,n. explorer 的复数形式
admissions,n. admission 的复数形式
brunches,n. brunch 的复数形式
braveries,n. bravery 的复数形式
struggled,v. struggle 的过去式
struggling,v. struggle 的现在分词
relays,n. relay 的复数形式
satellites,n. satellite 的复数形式
haircuts,n. haircut 的复数形式
frictions,n. friction 的复数形式
moustaches,n. moustache 的复数形式
geese,n. goose 的复数形式
absences,n. absence 的复数形式
valleys,n. valley 的复数形式
choirs,n. choir 的复数形式
pillows,n. pillow 的复数形式
analyses,n. analysis 的复数形式
cassettes,n. cassette 的复数形式
laundries,n. laundry 的复数形式
decreased,v. decrease 的过去式
decreasing,v. decrease 的现在分词
inserted,v. insert 的过去式
inserting,v. insert 的现在分词
allowances,n. allowance 的复数形式
adaptations,n. adaptation 的复数形式
inventors,n. inventor 的复数形式
shopped,v. shopping 的过去式
forecasted,v. forecast 的过去式
forecasting,v. forecast 的现在分词
airmails,n. airmail 的复数形式
triangles,n. triangle 的复数形式
paddles,n. paddle 的复数形式
invitations,n. invitation 的复数形式
bathtubs,n. bathtub 的复数形式
delighting,v. delight 的现在分词
registered,v. register 的过去式
registering,v. register 的现在分词
opened,v. opening 的过去式
puzzles,n. puzzle 的复数形式
hurricanes,n. hurricane 的复数形式
apologized,v. apologize 的过去式
apologizing,v. apologize 的现在分词
spelled,v. spelling 的过去式
astronomies,n. astronomy 的复数形式
harboured,v. harbour 的过去式
harbouring,v. harbour 的现在分词
dictations,n. dictation 的复数形式
cathedrals,n. cathedral 的复数形式
respected,v. respect 的过去式
respecting,v. respect 的现在分词
expressions,n. expression 的复数形式
dioxides,n. dioxide 的复数形式
villagers,n. villager 的复数形式
guidances,n. guidance 的复数形式
referred,v. refer 的过去式
referring,v. refer 的现在分词
booths,n. booth 的复数形式
bookmarks,n. bookmark 的复数形式
walkmans,n. walkman 的复数形式
burials,n. burial 的复数形式
possessed,v. possess 的过去式
possessing,v. possess 的现在分词
drawbacks,n. drawback 的复数形式
databases,n. database 的复数形式
hunters,n. hunter 的复数形式
signatures,n. signature 的复数形式
accelerated,v. accelerate 的过去式
accelerating,v. accelerate 的现在分词
carbons,n. carbon 的复数形式
lifetimes,n. lifetime 的复数形式
instructed,v. instruct 的过去式
instructing,v. instruct 的现在分词
amusements,n. amusement 的复数形式
defenses,n. defense 的复数形式
accumulated,v. accumulate 的过去式
accumulating,v. accumulate 的现在分词
glared,v. glare 的过去式
glaring,v. glare 的现在分词
wept,v. weep 的过去式
weeping,v. weep 的现在分词
tombs,n. tomb 的复数形式
seized,v. seize 的过去式
seizing,v. seize 的现在分词
bungalows,n. bungalow 的复数形式
competitors,n. competitor 的复数形式
eyewitnesses,n. eyewitness 的复数形式
outputs,n. output 的复数形式
headmasters,n. headmaster 的复数形式
dashed,v. dash 的过去式
dashing,v. dash 的现在分词
ambitions,n. ambition 的复数形式
sharpeners,n. sharpener 的复数形式
bookshelfs,n. bookshelf 的复数形式
analyzed,v. analyze 的过去式
analyzing,v. analyze 的现在分词
outcomes,n. outcome 的复数形式
clarified,v. clarify 的过去式
clarifying,v. clarify 的现在分词
biographies,n. biography 的复数形式
employs,n. employ 的复数形式
prayers,n. prayer 的复数形式
greeted,v. greet 的过去式
greeting,v. greet 的现在分词
prayed,v. pray 的过去式
praying,v. pray 的现在分词
burdened,v. burden 的过去式
burdening,v. burden 的现在分词
advertised,v. advertise 的过去式
advertising,v. advertise 的现在分词
forgave,v. forgive 的过去式
forgiving,v. forgive 的现在分词
collections,n. collection 的复数形式
chokes,n. choke 的复数形式
geometries,n. geometry 的复数形式
carriages,n. carriage 的复数形式
storages,n. storage 的复数形式
childhoods,n. childhood 的复数形式
violated,v. violate 的过去式
violating,v. violate 的现在分词
restricted,v. restrict 的过去式
restricting,v. restrict 的现在分词
harvested,v. harvest 的过去式
harvesting,v. harvest 的现在分词
altitudes,n. altitude 的复数形式
trunks,n. trunk 的复数形式
trams,n. tram 的复数形式
prejudices,n. prejudice 的复数形式
dials,n. dial 的复数形式
varieties,n. variety 的复数形式
peaches,n. peach 的复数形式
alleys,n. alley 的复数形式
smogs,n. smog 的复数形式
survived,v. survive 的过去式
surviving,v. survive 的现在分词
stewardesses,n. stewardess 的复数形式
minibuses,n. minibus 的复数形式
arrivals,n. arrival 的复数形式
whistled,v. whistle 的过去式
whistling,v. whistle 的现在分词
fantasies,n. fantasy 的复数形式
aeroplanes,n. aeroplane 的复数形式
recognised,v. recognise 的过去式
recognising,v. recognise 的现在分词
spades,n. spade 的复数形式
saluted,v. salute 的过去式
saluting,v. salute 的现在分词
enterprises,n. enterprise 的复数形式
maples,n. maple 的复数形式
swords,n. sword 的复数形式
consulted,v. consult 的过去式
consulting,v. consult 的现在分词
preserved,v. preserve 的过去式
preserving,v. preserve 的现在分词
accountants,n. accountant 的复数形式
veals,n. veal 的复数形式
cautioned,v. caution 的过去式
cautioning,v. caution 的现在分词
fountains,n. fountain 的复数形式
bakeries,n. bakery 的复数形式
undertook,v. undertake 的过去式
undertaking,v. undertake 的现在分词
punctuated,v. punctuate 的过去式
punctuating,v. punctuate 的现在分词
carriers,n. carrier 的复数形式
quakes,n. quake 的复数形式
patterns,n. pattern 的复数形式
remarked,v. remark 的过去式
remarking,v. remark 的现在分词
savages,n. savage 的复数形式
novelists,n. novelist 的复数形式
assisted,v. assist 的过去式
assisting,v. assist 的现在分词
kettles,n. kettle 的复数形式
easters,n. easter 的复数形式
tournaments,n. tournament 的复数形式
whispered,v. whisper 的过去式
whispering,v. whisper 的现在分词
consensuses,n. consensus 的复数形式
middays,n. midday 的复数形式
virtues,n. virtue 的复数形式
glances,n. glance 的复数形式
conflicted,v. conflict 的过去式
conflicting,v. conflict 的现在分词
boxed,v. boxing 的过去式
tobaccos,n. tobacco 的复数形式
snatched,v. snatch 的过去式
snatching,v. snatch 的现在分词
tortoises,n. tortoise 的复数形式
informing,v. inform 的现在分词
frontiers,n. frontier 的复数形式
dined,v. dine 的过去式
fists,n. fist 的复数形式
divisions,n. division 的复数形式
amazed,v. amaze 的过去式
journalists,n. journalist 的复数形式
gestures,n. gesture 的复数形式
accompanied,v. accompany 的过去式
accompanying,v. accompany 的现在分词
subscribed,v. subscribe 的过去式
subscribing,v. subscribe 的现在分词
dilemmas,n. dilemma 的复数形式
stained,v. stain 的过去式
staining,v. stain 的现在分词
aluminia,n. aluminium 的复数形式
bachelors,n. bachelor 的复数形式
mailboxes,n. mailbox 的复数形式
accustoming,v. accustomed 的现在分词
acquiring,v. acquire 的现在分词
pineapples,n. pineapple 的复数形式
contributed,v. contribute 的过去式
contributing,v. contribute 的现在分词
identities,n. identity 的复数形式
observed,v. observe 的过去式
observing,v. observe 的现在分词
professions,n. profession 的复数形式
ceremonies,n. ceremony 的复数形式
sniffed,v. sniff 的过去式
sniffing,v. sniff 的现在分词
annoying,v. annoy 的现在分词
programmed,v. programme 的过去式
programming,v. programme 的现在分词
grocers,n. grocer 的复数形式
confused,v. confuse 的过去式
confusing,v. confuse 的现在分词
cottages,n. cottage 的复数形式
nursed,v. nursing 的过去式
compensated,v. compensate 的过去式
compensating,v. compensate 的现在分词
origins,n. origin 的复数形式
garlics,n. garlic 的复数形式
tailored,v. tailor 的过去式
tailoring,v. tailor 的现在分词
catered,v. cater 的过去式
catering,v. cater 的现在分词
centimetres,n. centimetre 的复数形式
telescopes,n. telescope 的复数形式
equipped,v. equip 的过去式
equipping,v. equip 的现在分词
idioms,n. idiom 的复数形式
incidents,n. incident 的复数形式
receipts,n. receipt 的复数形式
globes,n. globe 的复数形式
extensions,n. extension 的复数形式
rectangles,n. rectangle 的复数形式
sneakers,n. sneaker 的复数形式
enlarged,v. enlarge 的过去式
enlarging,v. enlarge 的现在分词
conclusions,n. conclusion 的复数形式
labourers,n. labourer 的复数形式
interrupted,v. interrupt 的过去式
interrupting,v. interrupt 的现在分词
atmospheres,n. atmosphere 的复数形式
commanded,v. command 的过去式
commanding,v. command 的现在分词
astronauts,n. astronaut 的复数形式
keepers,n. keeper 的复数形式
realities,n. reality 的复数形式
boundaries,n. boundary 的复数形式
cocoas,n. cocoa 的复数形式
sockets,n. socket 的复数形式
burglars,n. burglar 的复数形式
pedestrians,n. pedestrian 的复数形式
badmintons,n. badminton 的复数形式
postboxes,n. postbox 的复数形式
voyages,n. voyage 的复数形式
telegraphs,n. telegraph 的复数形式
swaps,n. swap 的复数形式
tissues,n. tissue 的复数形式
condemned,v. condemn 的过去式
condemning,v. condemn 的现在分词
bargained,v. bargain 的过去式
bargaining,v. bargain 的现在分词
starved,v. starve 的过去式
starving,v. starve 的现在分词
slaves,n. slave 的复数形式
adjusted,v. adjust 的过去式
adjusting,v. adjust 的现在分词
possessions,n. possession 的复数形式
blankets,n. blanket 的复数形式
graduates,n. graduate 的复数形式
inspected,v. inspect 的过去式
inspecting,v. inspect 的现在分词
protections,n. protection 的复数形式
fastened,v. fasten 的过去式
fastening,v. fasten 的现在分词
tankers,n. tanker 的复数形式
westerners,n. westerner 的复数形式
painted,v. painting 的过去式
advancing,v. advance 的现在分词
privileges,n. privilege 的复数形式
carpets,n. carpet 的复数形式
affections,n. affection 的复数形式
locusts,n. locust 的复数形式
beams,n. beam 的复数形式
embarrassing,v. embarrass 的现在分词
referenced,v. reference 的过去式
referencing,v. reference 的现在分词
eggplants,n. eggplant 的复数形式
tolerated,v. tolerate 的过去式
tolerating,v. tolerate 的现在分词
waitresses,n. waitress 的复数形式
suffered,v. suffering 的过去式
astronomers,n. astronomer 的复数形式
reuses,n. reuse 的复数形式
settlements,n. settlement 的复数形式
resisted,v. resist 的过去式
resisting,v. resist 的现在分词
playmates,n. playmate 的复数形式
thrillers,n. thriller 的复数形式
accuracies,n. accuracy 的复数形式
departures,n. departure 的复数形式
salesmans,n. salesman 的复数形式
choruses,n. chorus 的复数形式
trainers,n. trainer 的复数形式
punishments,n. punishment 的复数形式
parked,v. parking 的过去式
irrigated,v. irrigate 的过去式
irrigating,v. irrigate 的现在分词
deserting,v. desert 的现在分词
rescues,n. rescue 的复数形式
lectured,v. lecture 的过去式
lecturing,v. lecture 的现在分词
amateurs,n. amateur 的复数形式
workplaces,n. workplace 的复数形式
graduations,n. graduation 的复数形式
spears,n. spear 的复数形式
empires,n. empire 的复数形式
playrooms,n. playroom 的复数形式
fingernails,n. fingernail 的复数形式
assessed,v. assess 的过去式
assessing,v. assess 的现在分词
cartoons,n. cartoon 的复数形式
receivers,n. receiver 的复数形式
grilled,v. grill 的过去式
grilling,v. grill 的现在分词
softballs,n. softball 的复数形式
seaweeds,n. seaweed 的复数形式
rhymed,v. rhyme 的过去式
rhyming,v. rhyme 的现在分词
frenchmans,n. frenchman 的复数形式
socialisms,n. socialism 的复数形式
applicants,n. applicant 的复数形式
saleswomans,n. saleswoman 的复数形式
disabilities,n. disability 的复数形式
betrayed,v. betray 的过去式
betraying,v. betray 的现在分词
sunsets,n. sunset 的复数形式
brides,n. bride 的复数形式
cushions,n. cushion 的复数形式
squids,n. squid 的复数形式
missiles,n. missile 的复数形式
climates,n. climate 的复数形式
deleted,v. delete 的过去式
deleting,v. delete 的现在分词
orbited,v. orbit 的过去式
orbiting,v. orbit 的现在分词
communisms,n. communism 的复数形式
alphabets,n. alphabet 的复数形式
strengthened,v. strengthen 的过去式
strengthening,v. strengthen 的现在分词
reflected,v. reflect 的过去式
reflecting,v. reflect 的现在分词
prohibited,v. prohibit 的过去式
prohibiting,v. prohibit 的现在分词
financed,v. finance 的过去式
financing,v. finance 的现在分词
revolutions,n. revolution 的复数形式
troops,n. troop 的复数形式
squirrels,n. squirrel 的复数形式
differed,v. differ 的过去式
differing,v. differ 的现在分词
seamans,n. seaman 的复数形式
bishops,n. bishop 的复数形式
refusals,n. refusal 的复数形式
defences,n. defence 的复数形式
approvals,n. approval 的复数形式
directions,n. direction 的复数形式
aluminums,n. aluminum 的复数形式
pavements,n. pavement 的复数形式
symptoms,n. symptom 的复数形式
barked,v. bark 的过去式
barking,v. bark 的现在分词
taxpayers,n. taxpayer 的复数形式
groceries,n. grocery 的复数形式
hesitated,v. hesitate 的过去式
hesitating,v. hesitate 的现在分词
widows,n. widow 的复数形式
shrinking,v. shrink 的现在分词
pesticides,n. pesticide 的复数形式
trolleybuses,n. trolleybus 的复数形式
seminars,n. seminar 的复数形式
practised,v. practise 的过去式
practising,v. practise 的现在分词
paradoxes,n. paradox 的复数形式
standpoints,n. standpoint 的复数形式
flaws,n. flaw 的复数形式
obstacles,n. obstacle 的复数形式
specialized,v. specialize 的过去式
specializing,v. specialize 的现在分词
startled,v. startle 的过去式
emissions,n. emission 的复数形式
awarenesses,n. awareness 的复数形式
exhausted,v. exhaust 的过去式
exhausting,v. exhaust 的现在分词
subsidized,v. subsidize 的过去式
subsidizing,v. subsidize 的现在分词
incidences,n. incidence 的复数形式
underwent,v. undergo 的过去式
undergoing,v. undergo 的现在分词
recessions,n. recession 的复数形式
triumphs,n. triumph 的复数形式
detections,n. detection 的复数形式
aviated,v. aviate 的过去式
aviating,v. aviate 的现在分词
relieving,v. relieve 的现在分词
generosities,n. generosity 的复数形式
columns,n. column 的复数形式
inquired,v. inquire 的过去式
inquiring,v. inquire 的现在分词
adversities,n. adversity 的复数形式
technicians,n. technician 的复数形式
hindered,v. hinder 的过去式
hindering,v. hinder 的现在分词
selections,n. selection 的复数形式
exposures,n. exposure 的复数形式
contrasted,v. contrast 的过去式
contrasting,v. contrast 的现在分词
cruelties,n. cruelty 的复数形式
threatened,v. threaten 的过去式
threatening,v. threaten 的现在分词
renewed,v. renew 的过去式
renewing,v. renew 的现在分词
takeoffs,n. takeoff 的复数形式
dropouts,n. dropout 的复数形式
imitated,v. imitate 的过去式
imitating,v. imitate 的现在分词
ingredients,n. ingredient 的复数形式
revenues,n. revenue 的复数形式
tumors,n. tumor 的复数形式
swayed,v. sway 的过去式
swaying,v. sway 的现在分词
soared,v. soar 的过去式
soaring,v. soar 的现在分词
embraced,v. embrace 的过去式
embracing,v. embrace 的现在分词
privacies,n. privacy 的复数形式
distracting,v. distract 的现在分词
yielded,v. yield 的过去式
yielding,v. yield 的现在分词
contacted,v. contact 的过去式
contacting,v. contact 的现在分词
simplicities,n. simplicity 的复数形式
enrollments,n. enrollment 的复数形式
enriched,v. enrich 的过去式
enriching,v. enrich 的现在分词
consented,v. consent 的过去式
consenting,v. consent 的现在分词
utilities,n. utility 的复数形式
interpreted,v. interpret 的过去式
interpreting,v. interpret 的现在分词
initiated,v. initiate 的过去式
initiating,v. initiate 的现在分词
enabled,v. enable 的过去式
enabling,v. enable 的现在分词
overcharged,v. overcharge 的过去式
overcharging,v. overcharge 的现在分词
shortcuts,n. shortcut 的复数形式
densities,n. density 的复数形式
spheres,n. sphere 的复数形式
margins,n. margin 的复数形式
dictators,n. dictator 的复数形式
diversities,n. diversity 的复数形式
enrolled,v. enroll 的过去式
enrolling,v. enroll 的现在分词
quotations,n. quotation 的复数形式
invaded,v. invade 的过去式
invading,v. invade 的现在分词
strained,v. strain 的过去式
straining,v. strain 的现在分词
rearranged,v. rearrange 的过去式
rearranging,v. rearrange 的现在分词
vanished,v. vanish 的过去式
vanishing,v. vanish 的现在分词
caregivers,n. caregiver 的复数形式
overwhelmed,v. overwhelm 的过去式
overwhelming,v. overwhelm 的现在分词
eliminated,v. eliminate 的过去式
eliminating,v. eliminate 的现在分词
retirements,n. retirement 的复数形式
elements,n. element 的复数形式
assignments,n. assignment 的复数形式
disputed,v. dispute 的过去式
disputing,v. dispute 的现在分词
esteems,n. esteem 的复数形式
lessened,v. lessen 的过去式
lessening,v. lessen 的现在分词
penalties,n. penalty 的复数形式
socialized,v. socialize 的过去式
socializing,v. socialize 的现在分词
bureaus,n. bureau 的复数形式
perceived,v. perceive 的过去式
perceiving,v. perceive 的现在分词
innovations,n. innovation 的复数形式
formulated,v. formulate 的过去式
formulating,v. formulate 的现在分词
publicized,v. publicize 的过去式
publicizing,v. publicize 的现在分词
criticisms,n. criticism 的复数形式
clues,n. clue 的复数形式
griefs,n. grief 的复数形式
resistances,n. resistance 的复数形式
installed,v. install 的过去式
installing,v. install 的现在分词
pledges,n. pledge 的复数形式
exiles,n. exile 的复数形式
rendered,v. render 的过去式
rendering,v. render 的现在分词
traits,n. trait 的复数形式
reframed,v. reframe 的过去式
reframing,v. reframe 的现在分词
donations,n. donation 的复数形式
specified,v. specify 的过去式
specifying,v. specify 的现在分词
complemented,v. complement 的过去式
complementing,v. complement 的现在分词
homemakers,n. homemaker 的复数形式
exceptions,n. exception 的复数形式
triggered,v. trigger 的过去式
triggering,v. trigger 的现在分词
estimated,v. estimate 的过去式
estimating,v. estimate 的现在分词
downsized,v. downsize 的过去式
downsizing,v. downsize 的现在分词
genders,n. gender 的复数形式
complaints,n. complaint 的复数形式
implemented,v. implement 的过去式
implementing,v. implement 的现在分词
scopes,n. scope 的复数形式
critics,n. critic 的复数形式
advocators,n. advocator 的复数形式
transferred,v. transfer 的过去式
transferring,v. transfer 的现在分词
anticipated,v. anticipate 的过去式
anticipating,v. anticipate 的现在分词
qualified,v. qualify 的过去式
qualifying,v. qualify 的现在分词
emergences,n. emergence 的复数形式
merited,v. merit 的过去式
meriting,v. merit 的现在分词
forums,n. forum 的复数形式
therapies,n. therapy 的复数形式
creativities,n. creativity 的复数形式
contexts,n. context 的复数形式
occasions,n. occasion 的复数形式
initiatives,n. initiative 的复数形式
insights,n. insight 的复数形式
loyalties,n. loyalty 的复数形式
objections,n. objection 的复数形式
assigned,v. assign 的过去式
assigning,v. assign 的现在分词
excluded,v. exclude 的过去式
excluding,v. exclude 的现在分词
evaluations,n. evaluation 的复数形式
irritated,v. irritate 的过去式
irritating,v. irritate 的现在分词
missions,n. mission 的复数形式
migrations,n. migration 的复数形式
skyrocketed,v. skyrocket 的过去式
skyrocketing,v. skyrocket 的现在分词
enhanced,v. enhance 的过去式
enhancing,v. enhance 的现在分词
integrities,n. integrity 的复数形式
inquiries,n. inquiry 的复数形式
attendances,n. attendance 的复数形式
retails,n. retail 的复数形式
inspectors,n. inspector 的复数形式
endurances,n. endurance 的复数形式
boosted,v. boost 的过去式
boosting,v. boost 的现在分词
misguiding,v. misguide 的现在分词
foundations,n. foundation 的复数形式
prevailed,v. prevail 的过去式
counselled,v. counsel 的过去式
counselling,v. counsel 的现在分词
reinforced,v. reinforce 的过去式
reinforcing,v. reinforce 的现在分词
tuitions,n. tuition 的复数形式
engagements,n. engagement 的复数形式
households,n. household 的复数形式
saints,n. saint 的复数形式
definitions,n. definition 的复数形式
mechanisms,n. mechanism 的复数形式
contests,n. contest 的复数形式
dominations,n. domination 的复数形式
curiosities,n. curiosity 的复数形式
induced,v. induce 的过去式
inducing,v. induce 的现在分词
located,v. locate 的过去式
locating,v. locate 的现在分词
tightened,v. tighten 的过去式
tightening,v. tighten 的现在分词
footholds,n. foothold 的复数形式
discharged,v. discharge 的过去式
discharging,v. discharge 的现在分词
conformed,v. conform 的过去式
conforming,v. conform 的现在分词
recharged,v. recharge 的过去式
recharging,v. recharge 的现在分词
frowned,v. frown 的过去式
frowning,v. frown 的现在分词
originated,v. originate 的过去式
originating,v. originate 的现在分词
prospects,n. prospect 的复数形式
incentives,n. incentive 的复数形式
cultivated,v. cultivate 的过去式
cultivating,v. cultivate 的现在分词
persuasions,n. persuasion 的复数形式
undermined,v. undermine 的过去式
undermining,v. undermine 的现在分词
fatigues,n. fatigue 的复数形式
endangering,v. endanger 的现在分词
inflated,v. inflate 的过去式
inflating,v. inflate 的现在分词
exaggerated,v. exaggerate 的过去式
exaggerating,v. exaggerate 的现在分词
illustrated,v. illustrate 的过去式
illustrating,v. illustrate 的现在分词
overflowed,v. overflow 的过去式
overflowing,v. overflow 的现在分词
fantasized,v. fantasize 的过去式
fantasizing,v. fantasize 的现在分词
generated,v. generate 的过去式
generating,v. generate 的现在分词
particles,n. particle 的复数形式
reproduced,v. reproduce 的过去式
reproducing,v. reproduce 的现在分词
worsened,v. worsen 的过去式
worsening,v. worsen 的现在分词
feedbacks,n. feedback 的复数形式
motivated,v. motivate 的过去式
motivating,v. motivate 的现在分词
compelled,v. compel 的过去式
revised,v. revise 的过去式
revising,v. revise 的现在分词
dampened,v. dampen 的过去式
dampening,v. dampen 的现在分词
prosperities,n. prosperity 的复数形式
humanities,n. humanity 的复数形式
pursued,v. pursue 的过去式
pursuing,v. pursue 的现在分词
innovated,v. innovate 的过去式
innovating,v. innovate 的现在分词
explosions,n. explosion 的复数形式
guidelines,n. guideline 的复数形式
dishwashers,n. dishwasher 的复数形式
dictated,v. dictate 的过去式
dictating,v. dictate 的现在分词
prospered,v. prosper 的过去式
prospering,v. prosper 的现在分词
retreated,v. retreat 的过去式
retreating,v. retreat 的现在分词
insulted,v. insult 的过去式
insulting,v. insult 的现在分词
neglected,v. neglect 的过去式
neglecting,v. neglect 的现在分词
inclined,v. incline 的过去式
inclining,v. incline 的现在分词
assets,n. asset 的复数形式
overtook,v. overtake 的过去式
overtaking,v. overtake 的现在分词
emphasized,v. emphasize 的过去式
emphasizing,v. emphasize 的现在分词
lodged,v. lodge 的过去式
surpassed,v. surpass 的过去式
surpassing,v. surpass 的现在分词
aviations,n. aviation 的复数形式
distressing,v. distress 的现在分词
invested,v. invest 的过去式
investing,v. invest 的现在分词
liabilities,n. liability 的复数形式
restored,v. restore 的过去式
restoring,v. restore 的现在分词
refined,v. refine 的过去式
refining,v. refine 的现在分词
complied,v. comply 的过去式
complying,v. comply 的现在分词
provoked,v. provoke 的过去式
provoking,v. provoke 的现在分词
lobbied,v. lobby 的过去式
lobbying,v. lobby 的现在分词
startups,n. startup 的复数形式
endured,v. endure 的过去式
enduring,v. endure 的现在分词
assemblies,n. assembly 的复数形式
opponents,n. opponent 的复数形式
confronted,v. confront 的过去式
confronting,v. confront 的现在分词
attributed,v. attribute 的过去式
attributing,v. attribute 的现在分词
grids,n. grid 的复数形式
highlighted,v. highlight 的过去式
highlighting,v. highlight 的现在分词
justifying,v. justify 的现在分词
proposals,n. proposal 的复数形式
advisories,n. advisory 的复数形式
derived,v. derive 的过去式
deriving,v. derive 的现在分词
priorities,n. priority 的复数形式
symbolized,v. symbolize 的过去式
symbolizing,v. symbolize 的现在分词
intakes,n. intake 的复数形式
addictions,n. addiction 的复数形式
retrained,v. retrain 的过去式
retraining,v. retrain 的现在分词
evolved,v. evolve 的过去式
evolving,v. evolve 的现在分词
regulated,v. regulate 的过去式
regulating,v. regulate 的现在分词
retailers,n. retailer 的复数形式
programmers,n. programmer 的复数形式
admirations,n. admiration 的复数形式
makeups,n. makeup 的复数形式
assembled,v. assemble 的过去式
assembling,v. assemble 的现在分词
visibilities,n. visibility 的复数形式
chaps,n. chap 的复数形式
inadequacies,n. inadequacy 的复数形式
facilitated,v. facilitate 的过去式
facilitating,v. facilitate 的现在分词
reassessed,v. reassess 的过去式
reassessing,v. reassess 的现在分词
stimulated,v. stimulate 的过去式
stimulating,v. stimulate 的现在分词
fascinating,v. fascinate 的现在分词
durabilities,n. durability 的复数形式
constituted,v. constitute 的过去式
constituting,v. constitute 的现在分词
detected,v. detect 的过去式
detecting,v. detect 的现在分词
forefingers,n. forefinger 的复数形式
repaved,v. repave 的过去式
repaving,v. repave 的现在分词
downfalls,n. downfall 的复数形式
perceptions,n. perception 的复数形式
facilities,n. facility 的复数形式
proportions,n. proportion 的复数形式
hazards,n. hazard 的复数形式
undervalued,v. undervalue 的过去式
undervaluing,v. undervalue 的现在分词
fitnesses,n. fitness 的复数形式
protested,v. protest 的过去式
protesting,v. protest 的现在分词
refuelled,v. refuel 的过去式
refuelling,v. refuel 的现在分词
tackled,v. tackle 的过去式
tackling,v. tackle 的现在分词
dissatisfied,v. dissatisfy 的过去式
dissatisfying,v. dissatisfy 的现在分词
offenses,n. offense 的复数形式
weakened,v. weaken 的过去式
weakening,v. weaken 的现在分词
recruits,n. recruit 的复数形式
overstated,v. overstate 的过去式
overstating,v. overstate 的现在分词
restocked,v. restock 的过去式
restocking,v. restock 的现在分词
convicted,v. convict 的过去式
convicting,v. convict 的现在分词
deepened,v. deepen 的过去式
deepening,v. deepen 的现在分词
territories,n. territory 的复数形式
resolved,v. resolve 的过去式
resolving,v. resolve 的现在分词
amplified,v. amplify 的过去式
amplifying,v. amplify 的现在分词
dragons,n. dragon 的复数形式
aroused,v. arouse 的过去式
arousing,v. arouse 的现在分词
modified,v. modify 的过去式
modifying,v. modify 的现在分词
realms,n. realm 的复数形式
levers,n. lever 的复数形式
midsts,n. midst 的复数形式
ribbons,n. ribbon 的复数形式
conquered,v. conquer 的过去式
conquering,v. conquer 的现在分词
enthusiasms,n. enthusiasm 的复数形式
broods,n. brood 的复数形式
executed,v. execute 的过去式
executing,v. execute 的现在分词
concealed,v. conceal 的过去式
concealing,v. conceal 的现在分词
messengers,n. messenger 的复数形式
governors,n. governor 的复数形式
stung,v. sting 的过去式
stinging,v. sting 的现在分词
